pos_ci95,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
3,300,1,0.003333333333,1,77.18661042,0
10,300,0,0,1,79.37349308,0
30,300,0,0,1,91.3314948,0
92.6,300,17,0.05666666667,1,126.6652234,0
