pos_ci95,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
3,300,29,0.09666666667,1,56.10054601,0
10,300,38,0.1266666667,1,56.6808794,0
30,300,69,0.23,1,56.8955565,0
92.6,300,239,0.7966666667,1,32.16510167,0
