aircraft,pos_ci95,vel_ci95,reception_prob,max_range_m,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
fixedwing,10,1,0.8,1000,300,0,0,1,92.21389454,0
fixedwing,10,1,0.8,3000,300,0,0,1,109.4099262,0
fixedwing,10,1,1,500,300,1,0.003333333333,1,89.15255361,0
fixedwing,10,1,1,1000,300,0,0,1,90.61952494,0
fixedwing,10,1,1,3000,300,0,0,1,103.6324548,0
fixedwing,10,3,0.5,500,300,1,0.003333333333,1,91.27050952,0
fixedwing,10,3,0.5,1000,300,1,0.003333333333,1,102.7944985,0
fixedwing,10,3,0.5,3000,300,0,0,1,106.8593647,0
fixedwing,10,3,0.8,500,300,0,0,1,89.60207924,0
fixedwing,10,3,0.8,1000,300,0,0,1,103.3508452,0
fixedwing,10,3,0.8,3000,300,0,0,1,111.6104862,0
fixedwing,10,3,1,500,300,0,0,1,87.9007398,0
fixedwing,10,3,1,1000,300,0,0,1,99.96896429,0
fixedwing,10,3,1,3000,300,0,0,1,104.458699,0
fixedwing,30,1,0.5,500,300,0,0,1,102.0197402,0
fixedwing,30,1,0.5,1000,300,0,0,1,116.8175429,0
fixedwing,30,1,0.5,3000,300,0,0,1,130.9245681,0
fixedwing,30,1,0.8,500,300,0,0,1,96.27600109,0
fixedwing,30,1,0.8,1000,300,0,0,1,106.4442811,0
fixedwing,30,1,0.8,3000,300,0,0,1,118.1716679,0
fixedwing,30,1,1,500,300,0,0,1,94.71807492,0
fixedwing,30,1,1,1000,300,0,0,1,101.7628188,0
fixedwing,30,1,1,3000,300,0,0,1,115.8325839,0
fixedwing,30,3,0.5,500,300,3,0.01,1,96.66024171,0
fixedwing,30,3,0.5,1000,300,2,0.006666666667,1,109.08137,0
fixedwing,30,3,0.5,3000,300,2,0.006666666667,1,119.1967087,0
fixedwing,30,3,0.8,500,300,0,0,1,97.43387838,0
fixedwing,30,3,0.8,1000,300,0,0,1,109.9738679,0
fixedwing,30,3,0.8,3000,300,0,0,1,114.5673468,0
