dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled,ipr,median_cpa_m
150,10,1,pastcpa,200,0,0.0,1,100.7343308,0,1.0,100.7343308
150,10,1,ftr,200,8,0.04,1,53.80341107,0,0.96,53.80341107
150,10,1,probabilistic_ftr,200,0,0.0,1,69.08541568,0,1.0,69.08541568
150,10,3,pastcpa,200,0,0.0,1,98.4079401,0,1.0,98.4079401
150,10,3,ftr,200,46,0.23,1,52.86894894,0,0.77,52.86894894
150,10,3,probabilistic_ftr,200,0,0.0,1,70.69236325,0,1.0,70.69236325
180,3,1,pastcpa,200,0,0.0,1,100.9134187,0,1.0,100.9134187
180,3,1,ftr,200,31,0.155,1,51.72196902,0,0.845,51.72196902
180,3,1,probabilistic_ftr,200,0,0.0,1,64.68169414,0,1.0,64.68169414
180,3,3,pastcpa,200,0,0.0,1,101.6863955,0,1.0,101.6863955
180,3,3,ftr,200,63,0.315,1,51.27289492,0,0.685,51.27289492
180,3,3,probabilistic_ftr,200,2,0.01,1,69.13355628,0,0.99,69.13355628
180,10,1,pastcpa,200,0,0.0,1,102.6996815,0,1.0,102.6996815
180,10,1,ftr,200,8,0.04,1,54.05832412,0,0.96,54.05832412
180,10,1,probabilistic_ftr,200,0,0.0,1,68.49048709,0,1.0,68.49048709
180,10,3,pastcpa,200,0,0.0,1,100.0229206,0,1.0,100.0229206
180,10,3,ftr,200,53,0.265,1,52.84749797,0,0.735,52.84749797
180,10,3,probabilistic_ftr,200,2,0.01,1,71.81818394,0,0.99,71.81818394
