dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled,ipr,median_cpa_m
2,3,1,ftr,200,9,0.045,1,51.7810383,2,0.955,51.7810383
2,3,1,0.999,200,0,0.0,1,68.86826697,0,1.0,68.86826697
2,3,1,0.99,200,0,0.0,1,62.31711529,0,1.0,62.31711529
2,3,1,0.9,200,1,0.005,1,55.92437341,2,0.995,55.92437341
2,3,1,0.75,200,0,0.0,1,54.32306335,2,1.0,54.32306335
2,3,1,0.5,200,6,0.03,1,52.35011712,2,0.97,52.35011712
2,3,3,ftr,200,77,0.385,1,50.49859634,2,0.615,50.49859634
2,3,3,0.999,200,0,0.0,1,70.59015497,0,1.0,70.59015497
2,3,3,0.99,200,0,0.0,1,65.00111141,0,1.0,65.00111141
2,3,3,0.9,200,3,0.015,1,56.07638561,2,0.985,56.07638561
2,3,3,0.75,200,23,0.115,1,52.49396005,2,0.885,52.49396005
2,3,3,0.5,200,64,0.32,1,51.00720798,2,0.6799999999999999,51.00720798
2,10,1,ftr,200,0,0.0,1,56.00058189,2,1.0,56.00058189
2,10,1,0.999,200,0,0.0,1,69.56011269,0,1.0,69.56011269
2,10,1,0.99,200,0,0.0,1,64.153943,0,1.0,64.153943
2,10,1,0.9,200,0,0.0,1,59.74867705,2,1.0,59.74867705
2,10,1,0.75,200,0,0.0,1,57.59372423,2,1.0,57.59372423
2,10,1,0.5,200,1,0.005,1,56.09884621,2,0.995,56.09884621
2,10,3,ftr,200,29,0.145,1,53.8710404,2,0.855,53.8710404
2,10,3,0.999,200,0,0.0,1,71.7059883,0,1.0,71.7059883
2,10,3,0.99,200,0,0.0,1,68.15913226,1,1.0,68.15913226
2,10,3,0.9,200,4,0.02,1,57.89013748,2,0.98,57.89013748
2,10,3,0.75,200,15,0.075,1,54.82593878,2,0.925,54.82593878
2,10,3,0.5,200,22,0.11,1,53.70401253,2,0.89,53.70401253
30,3,1,ftr,200,22,0.11,1,51.44173185,0,0.89,51.44173185
30,3,1,0.999,200,0,0.0,1,63.43656496,0,1.0,63.43656496
30,3,1,0.99,200,0,0.0,1,60.33941375,0,1.0,60.33941375
30,3,1,0.9,200,2,0.01,1,55.76281718,0,0.99,55.76281718
30,3,1,0.75,200,2,0.01,1,54.08822897,0,0.99,54.08822897
30,3,1,0.5,200,14,0.07,1,51.61818375,0,0.9299999999999999,51.61818375
30,3,3,ftr,200,61,0.305,1,51.16549148,0,0.6950000000000001,51.16549148
30,3,3,0.999,200,1,0.005,1,69.55965371,0,0.995,69.55965371
30,3,3,0.99,200,0,0.0,1,63.08478182,0,1.0,63.08478182
30,3,3,0.9,200,3,0.015,1,57.66686833,0,0.985,57.66686833
30,3,3,0.75,200,7,0.035,1,55.31150195,0,0.965,55.31150195
30,3,3,0.5,200,56,0.28,1,51.64814263,0,0.72,51.64814263
30,10,1,ftr,200,19,0.095,1,53.96832385,1,0.905,53.96832385
30,10,1,0.999,200,0,0.0,1,66.06995544,0,1.0,66.06995544
30,10,1,0.99,200,0,0.0,1,63.2109608,0,1.0,63.2109608
30,10,1,0.9,200,1,0.005,1,59.87634091,0,0.995,59.87634091
30,10,1,0.75,200,2,0.01,1,56.50409378,0,0.99,56.50409378
30,10,1,0.5,200,14,0.07,1,53.35791728,0,0.9299999999999999,53.35791728
30,10,3,ftr,200,51,0.255,1,52.40222642,0,0.745,52.40222642
30,10,3,0.999,200,1,0.005,1,70.94515458,0,0.995,70.94515458
30,10,3,0.99,200,3,0.015,1,65.55515024,0,0.985,65.55515024
30,10,3,0.9,200,2,0.01,1,61.04807034,0,0.99,61.04807034
30,10,3,0.75,200,8,0.04,1,57.25075548,0,0.96,57.25075548
30,10,3,0.5,200,34,0.17,1,53.88782464,0,0.83,53.88782464
60,3,1,ftr,200,13,0.065,1,51.75108309,0,0.935,51.75108309
60,3,1,0.999,200,0,0.0,1,65.6363549,0,1.0,65.6363549
60,3,1,0.99,200,0,0.0,1,61.41876747,0,1.0,61.41876747
60,3,1,0.9,200,0,0.0,1,56.47903225,0,1.0,56.47903225
60,3,1,0.75,200,3,0.015,1,54.17283909,0,0.985,54.17283909
60,3,1,0.5,200,15,0.075,1,51.83787135,0,0.925,51.83787135
60,3,3,ftr,200,47,0.235,1,51.51545223,0,0.765,51.51545223
60,3,3,0.999,200,0,0.0,1,67.98385774,0,1.0,67.98385774
60,3,3,0.99,200,2,0.01,1,63.02200104,0,0.99,63.02200104
60,3,3,0.9,200,0,0.0,1,59.43401421,0,1.0,59.43401421
60,3,3,0.75,200,6,0.03,1,55.92215706,0,0.97,55.92215706
60,3,3,0.5,200,44,0.22,1,51.49004671,0,0.78,51.49004671
60,10,1,ftr,200,6,0.03,1,54.10303866,0,0.97,54.10303866
60,10,1,0.999,200,0,0.0,1,69.17837371,0,1.0,69.17837371
60,10,1,0.99,200,0,0.0,1,64.83736556,0,1.0,64.83736556
60,10,1,0.9,200,0,0.0,1,59.72122921,0,1.0,59.72122921
60,10,1,0.75,200,0,0.0,1,56.84754896,0,1.0,56.84754896
60,10,1,0.5,200,8,0.04,1,54.61687256,0,0.96,54.61687256
60,10,3,ftr,200,43,0.215,1,53.06660252,0,0.785,53.06660252
60,10,3,0.999,200,1,0.005,1,72.01156024,0,0.995,72.01156024
60,10,3,0.99,200,2,0.01,1,66.00238756,0,0.99,66.00238756
60,10,3,0.9,200,3,0.015,1,61.09390574,0,0.985,61.09390574
60,10,3,0.75,200,5,0.025,1,57.83349968,0,0.975,57.83349968
60,10,3,0.5,200,45,0.225,1,52.75644438,0,0.775,52.75644438
90,3,1,ftr,200,14,0.07,1,51.77430873,0,0.9299999999999999,51.77430873
90,3,1,0.999,200,0,0.0,1,65.50177375,0,1.0,65.50177375
90,3,1,0.99,200,0,0.0,1,62.11460575,0,1.0,62.11460575
90,3,1,0.9,200,0,0.0,1,56.49545862,0,1.0,56.49545862
90,3,1,0.75,200,1,0.005,1,54.12050773,0,0.995,54.12050773
90,3,1,0.5,200,10,0.05,1,51.86916161,0,0.95,51.86916161
90,3,3,ftr,200,34,0.17,1,51.77183974,0,0.83,51.77183974
90,3,3,0.999,200,1,0.005,1,71.087924,0,0.995,71.087924
90,3,3,0.99,200,1,0.005,1,64.20192406,0,0.995,64.20192406
90,3,3,0.9,200,1,0.005,1,58.56345242,0,0.995,58.56345242
90,3,3,0.75,200,7,0.035,1,55.43663161,0,0.965,55.43663161
90,3,3,0.5,200,52,0.26,1,51.17391109,0,0.74,51.17391109
90,10,1,ftr,200,9,0.045,1,54.21838801,0,0.955,54.21838801
90,10,1,0.999,200,0,0.0,1,67.87754733,0,1.0,67.87754733
90,10,1,0.99,200,0,0.0,1,64.18493391,0,1.0,64.18493391
90,10,1,0.9,200,0,0.0,1,59.54023603,0,1.0,59.54023603
90,10,1,0.75,200,0,0.0,1,57.67219205,0,1.0,57.67219205
90,10,1,0.5,200,6,0.03,1,54.55939623,0,0.97,54.55939623
90,10,3,ftr,200,32,0.16,1,53.50506393,0,0.84,53.50506393
90,10,3,0.999,200,0,0.0,1,72.13624592,0,1.0,72.13624592
90,10,3,0.99,200,0,0.0,1,66.56809308,0,1.0,66.56809308
90,10,3,0.9,200,1,0.005,1,60.88404709,0,0.995,60.88404709
90,10,3,0.75,200,10,0.05,1,57.86756259,0,0.95,57.86756259
90,10,3,0.5,200,37,0.185,1,53.0177755,0,0.815,53.0177755
120,3,1,ftr,200,30,0.15,1,51.56825289,0,0.85,51.56825289
120,3,1,0.999,200,0,0.0,1,65.21877845,0,1.0,65.21877845
120,3,1,0.99,200,0,0.0,1,61.98477181,0,1.0,61.98477181
120,3,1,0.9,200,0,0.0,1,56.31134433,0,1.0,56.31134433
120,3,1,0.75,200,1,0.005,1,54.25462629,0,0.995,54.25462629
120,3,1,0.5,200,24,0.12,1,51.75695336,0,0.88,51.75695336
120,3,3,ftr,200,65,0.325,1,51.52623753,0,0.675,51.52623753
120,3,3,0.999,200,0,0.0,1,68.22513985,0,1.0,68.22513985
120,3,3,0.99,200,1,0.005,1,65.20779685,0,0.995,65.20779685
120,3,3,0.9,200,3,0.015,1,59.29627411,0,0.985,59.29627411
120,3,3,0.75,200,6,0.03,1,55.70269151,0,0.97,55.70269151
120,3,3,0.5,200,62,0.31,1,51.73128567,0,0.69,51.73128567
120,10,1,ftr,200,10,0.05,1,54.27042625,0,0.95,54.27042625
120,10,1,0.999,200,0,0.0,1,67.10395374,0,1.0,67.10395374
120,10,1,0.99,200,0,0.0,1,65.17402412,0,1.0,65.17402412
