dpsi,pos_ci95,vel_ci95,recovery,n_encounters,n_los,p_los_run,detection_rate,median_min_sep,n_unsettled
2,3,1,ftr,10000,680,0.068,1,51.71706042,100
2,3,1,0.999,10000,0,0,1,67.17871202,0
2,3,1,0.99,10000,1,0.0001,1,62.34031715,4
2,3,1,0.9,10000,8,0.0008,1,56.2725203,100
2,3,1,0.75,10000,40,0.004,1,54.15208869,100
2,3,1,0.5,10000,300,0.03,1,52.4143014,100
2,3,3,ftr,10000,3937,0.3937,1,50.56225041,100
2,3,3,0.999,10000,39,0.0039,1,69.59929074,2
2,3,3,0.99,10000,63,0.0063,1,65.622336,19
2,3,3,0.9,10000,416,0.0416,1,55.6315446,100
2,3,3,0.75,10000,1576,0.1576,1,52.49093833,100
2,3,3,0.5,10000,3313,0.3313,1,50.93105072,100
2,10,1,ftr,10000,22,0.0022,1,55.84919124,100
2,10,1,0.999,10000,0,0,1,70.35645044,0
2,10,1,0.99,10000,1,0.0001,1,65.34389538,6
2,10,1,0.9,10000,3,0.0003,1,59.67550636,100
2,10,1,0.75,10000,10,0.001,1,57.6277503,100
2,10,1,0.5,10000,23,0.0023,1,56.03811305,100
2,10,3,ftr,10000,1464,0.1464,1,53.60009096,100
2,10,3,0.999,10000,42,0.0042,1,71.09085831,3
2,10,3,0.99,10000,71,0.0071,1,67.66083643,18
2,10,3,0.9,10000,413,0.0413,1,57.67157485,100
2,10,3,0.75,10000,955,0.0955,1,54.63197971,100
2,10,3,0.5,10000,1344,0.1344,1,53.65331646,100
4,3,1,ftr,10000,1260,0.126,1,51.37325352,100
4,3,1,0.999,10000,0,0,1,65.81533483,0
4,3,1,0.99,10000,1,0.0001,1,60.65497272,1
4,3,1,0.9,10000,5,0.0005,1,56.16366553,100
4,3,1,0.75,10000,48,0.0048,1,54.37155242,100
4,3,1,0.5,10000,532,0.0532,1,52.03563853,100
4,3,3,ftr,10000,3993,0.3993,1,50.53521385,100
4,3,3,0.999,10000,30,0.003,1,71.93703066,1
4,3,3,0.99,10000,66,0.0066,1,64.4753676,22
